customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
Analise Gairdner,Neutral,7,10/29/2020,Billing Question,Detroit,Michigan,Call-Center,Within SLA,17,Los Angeles/CA
Crichton Kidsley,Very Positive,,10-05-2020,Service Outage,Spartanburg,South Carolina,Chatbot,Within SLA,23,Baltimore/MD
Averill Brundrett,Negative,,10-04-2020,Billing Question,Gainesville,Florida,Call-Center,Above SLA,45,Los Angeles/CA
Noreen Lafflina,Very Negative,1,10/17/2020,Billing Question,Portland,Oregon,Chatbot,Within SLA,12,Los Angeles/CA
Toma Van der Beken,Very Positive,,10/17/2020,Payments,Fort Wayne,Indiana,Call-Center,Within SLA,23,Los Angeles/CA
Kaylyn Emlen,Neutral,5,10/28/2020,Billing Question,Salt Lake City,Utah,Call-Center,Within SLA,25,Baltimore/MD
Phillipe Bowring,Neutral,8,10/16/2020,Billing Question,Tyler,Texas,Chatbot,Within SLA,31,Baltimore/MD
Krysta de Tocqueville,Positive,,10/21/2020,Billing Question,New York City,New York,Chatbot,Below SLA,37,Los Angeles/CA
Oran Lifsey,Very Negative,,10-03-2020,Billing Question,Dallas,Texas,Email,Below SLA,37,Baltimore/MD
Port Inggall,Neutral,,10-07-2020,Billing Question,Cincinnati,Ohio,Chatbot,Within SLA,12,Baltimore/MD
Ella Cristoforo,Negative,,10-09-2020,Billing Question,Everett,Washington,Chatbot,Within SLA,35,Los Angeles/CA
Aubrey Surcombe,Negative,,10-11-2020,Billing Question,Huntington,West Virginia,Web,Within SLA,18,Los Angeles/CA
Nicolle Fareweather,Very Positive,,10-02-2020,Billing Question,Portland,Oregon,Call-Center,Within SLA,30,Baltimore/MD
Melesa Ricardot,Positive,7,10-10-2020,Billing Question,Springfield,Massachusetts,Chatbot,Within SLA,20,Denver/CO
Odell Cathesyed,Very Negative,,10-06-2020,Payments,Hyattsville,Maryland,Call-Center,Below SLA,22,Baltimore/MD
Dani Stanfield,Negative,4,10/18/2020,Billing Question,New York City,New York,Chatbot,Within SLA,28,Denver/CO
Margarette Jehaes,Negative,,10-11-2020,Billing Question,Huntsville,Alabama,Email,Above SLA,36,Baltimore/MD
Noni Greatrakes,Neutral,,10/30/2020,Billing Question,Wichita,Kansas,Call-Center,Above SLA,37,Baltimore/MD
Gerik Archell,Negative,,10/26/2020,Billing Question,Lansing,Michigan,Web,Within SLA,41,Baltimore/MD
Tammie Bettinson,Very Negative,,10-11-2020,Payments,Lansing,Michigan,Call-Center,Within SLA,9,Chicago/IL
Errol Follos,Neutral,,10-12-2020,Billing Question,Fort Wayne,Indiana,Chatbot,Below SLA,35,Baltimore/MD
Nanni Doy,Negative,5,10-08-2020,Billing Question,Hayward,California,Email,Within SLA,27,Baltimore/MD
Sophie Kleinerman,Very Negative,2,10-03-2020,Billing Question,Santa Barbara,California,Chatbot,Within SLA,20,Chicago/IL
Timotheus Menlove,Negative,,10/28/2020,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,43,Baltimore/MD
Allayne Lednor,Negative,,10-06-2020,Service Outage,Murfreesboro,Tennessee,Chatbot,Below SLA,41,Baltimore/MD
Bethina Fazzioli,Positive,,10/22/2020,Billing Question,Lubbock,Texas,Chatbot,Below SLA,45,Denver/CO
Stanwood Esley,Very Negative,,10-01-2020,Billing Question,New York City,New York,Call-Center,Within SLA,19,Baltimore/MD
Anissa Kinrade,Very Positive,,10-05-2020,Payments,Oklahoma City,Oklahoma,Call-Center,Within SLA,40,Chicago/IL
Bradly Dinkin,Very Positive,,10/30/2020,Billing Question,Omaha,Nebraska,Chatbot,Below SLA,6,Chicago/IL
Callida Le Franc,Negative,6,10/27/2020,Billing Question,Birmingham,Alabama,Web,Within SLA,26,Los Angeles/CA
Jdavie Fasler,Neutral,,10/30/2020,Service Outage,Jamaica,New York,Chatbot,Below SLA,10,Baltimore/MD
Saundra Greenshields,Very Negative,,10-01-2020,Billing Question,Atlanta,Georgia,Chatbot,Below SLA,35,Los Angeles/CA
Joseph Trenear,Negative,,10-03-2020,Service Outage,Clearwater,Florida,Email,Within SLA,38,Baltimore/MD
Kaylil Randell,Very Negative,2,10-07-2020,Billing Question,New York City,New York,Call-Center,Above SLA,17,Chicago/IL
Quinton Marchelli,Positive,,10/13/2020,Payments,Los Angeles,California,Call-Center,Within SLA,39,Los Angeles/CA
Hakim Saywood,Negative,,10/19/2020,Billing Question,Richmond,Virginia,Chatbot,Within SLA,30,Baltimore/MD
Lucilia Blenkhorn,Negative,,10-11-2020,Billing Question,Dallas,Texas,Email,Within SLA,39,Baltimore/MD
Ophelia Thresh,Negative,,10-04-2020,Billing Question,Louisville,Kentucky,Email,Above SLA,15,Baltimore/MD
Norine Hedau,Negative,,10/27/2020,Payments,Lubbock,Texas,Call-Center,Within SLA,36,Los Angeles/CA
Inessa Trippitt,Very Positive,9,10/13/2020,Billing Question,Houston,Texas,Email,Above SLA,16,Los Angeles/CA
Clarence Heymann,Very Negative,,10/22/2020,Billing Question,Spokane,Washington,Email,Above SLA,40,Los Angeles/CA
Dermot Capponer,Very Negative,,10/18/2020,Billing Question,Flint,Michigan,Email,Below SLA,30,Baltimore/MD
Paulette Tartt,Very Negative,1,10/21/2020,Billing Question,New York City,New York,Email,Within SLA,14,Baltimore/MD
Tamarra Pavier,Negative,4,10/23/2020,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,14,Baltimore/MD
Darcy Cuncarr,Negative,4,10/14/2020,Billing Question,Rockford,Illinois,Call-Center,Within SLA,37,Chicago/IL
Ab Potteril,Very Negative,2,10-11-2020,Billing Question,Las Vegas,Nevada,Email,Below SLA,10,Chicago/IL
Christi Matveichev,Neutral,,10/19/2020,Billing Question,Elmira,New York,Call-Center,Within SLA,24,Baltimore/MD
Luca Castel,Positive,9,10-06-2020,Payments,Houston,Texas,Call-Center,Within SLA,44,Los Angeles/CA
Sonnie Pickvance,Positive,7,10/27/2020,Billing Question,Daytona Beach,Florida,Web,Within SLA,18,Los Angeles/CA
Abramo Tottman,Very Negative,1,10/19/2020,Billing Question,Inglewood,California,Web,Above SLA,33,Baltimore/MD
Evanne Domeny,Very Negative,,10-08-2020,Billing Question,Cincinnati,Ohio,Call-Center,Below SLA,20,Los Angeles/CA
Welsh Eisig,Very Negative,,10-05-2020,Billing Question,Greeley,Colorado,Web,Within SLA,21,Denver/CO
Terrye Conring,Very Negative,3,10/28/2020,Payments,Fort Worth,Texas,Call-Center,Within SLA,29,Los Angeles/CA
Kinny Foxall,Very Negative,,10/26/2020,Payments,Mobile,Alabama,Call-Center,Below SLA,25,Baltimore/MD
Dare Ropcke,Positive,8,10/25/2020,Billing Question,Charlotte,North Carolina,Email,Within SLA,34,Denver/CO
Cornelia Dunbabin,Neutral,,10/28/2020,Billing Question,Reading,Pennsylvania,Call-Center,Within SLA,9,Los Angeles/CA
Cathrine Samwayes,Very Negative,3,10/15/2020,Billing Question,Jamaica,New York,Email,Above SLA,19,Baltimore/MD
Katy Flaxman,Negative,,10/18/2020,Billing Question,Dallas,Texas,Chatbot,Within SLA,13,Los Angeles/CA
Lily Mackneis,Very Negative,,10-11-2020,Billing Question,Albuquerque,New Mexico,Chatbot,Within SLA,28,Baltimore/MD
Brigid Bolduc,Neutral,,10/30/2020,Billing Question,Lawrenceville,Georgia,Chatbot,Within SLA,12,Los Angeles/CA
Bobette Dominik,Neutral,,10-12-2020,Billing Question,San Diego,California,Chatbot,Within SLA,43,Denver/CO
